localite,annee,mois,dni
gin_boffa,2016,5,3.4862
gin_boffa,2016,6,3.5661
gin_boffa,2016,7,2.3769
gin_boffa,2016,8,2.1786
gin_boffa,2016,9,3.0688
gin_boffa,2016,10,4.221
gin_boffa,2016,11,4.3033
gin_boffa,2016,12,4.3954
gin_boffa,2017,1,5.8404
gin_boffa,2017,2,4.9314
gin_boffa,2017,3,4.7747
gin_boffa,2017,4,3.721
gin_boffa,2017,5,3.4665
gin_boffa,2017,6,2.8373
gin_boffa,2017,7,3.3014
gin_boffa,2017,8,2.559
gin_boffa,2017,9,3.3294
gin_boffa,2017,10,4.2699
gin_boffa,2017,11,3.5786
gin_boffa,2017,12,4.106
gin_boffa,2018,1,4.5655
gin_boffa,2018,2,4.8734
gin_boffa,2018,3,5.0804
gin_boffa,2018,4,3.9703
gin_boffa,2018,5,3.777
gin_boffa,2018,6,2.6034
gin_boffa,2018,7,2.4212
gin_boffa,2018,8,2.5836
gin_boffa,2018,9,2.8258
gin_boffa,2018,10,4.2011
gin_boffa,2018,11,4.3176
gin_boffa,2018,12,5.6977
gin_boffa,2019,1,5.6997
gin_boffa,2019,2,5.1199
gin_boffa,2019,3,5.1084
gin_boffa,2019,4,4.3587
gin_boffa,2019,5,3.5571
gin_boffa,2019,6,3.2313
gin_boffa,2019,7,2.551
gin_boffa,2019,8,2.0619
gin_boffa,2019,9,3.4881
gin_boffa,2019,10,3.9889
gin_boffa,2019,11,4.9028
gin_boffa,2019,12,6.2598
gin_boffa,2020,1,4.2852
gin_boffa,2020,2,4.9524
gin_boffa,2020,3,5.0157
gin_boffa,2020,4,3.8422
gin_boffa,2020,5,2.885
gin_boffa,2020,6,3.4245
gin_boffa,2020,7,2.2856
gin_boffa,2020,8,2.0498
gin_boffa,2020,9,3.3093
gin_boffa,2020,10,4.6588
gin_boffa,2020,11,5.674
gin_boffa,2020,12,5.8013
gin_boffa,2021,1,5.1756
gin_boffa,2021,2,4.1509
gin_boffa,2021,3,4.3565
gin_boffa,2021,4,4.4448
gin_boffa,2021,5,3.5198
gin_boffa,2021,6,3.6053
gin_boffa,2021,7,2.4993
gin_boffa,2021,8,2.6173
gin_boffa,2021,9,4.0034
gin_boffa,2021,10,4.268
gin_boffa,2021,11,4.9152
gin_boffa,2021,12,4.2484
gin_boffa,2022,1,5.0848
gin_boffa,2022,2,5.054
gin_boffa,2022,3,4.5273
gin_boffa,2022,4,4.5035
gin_boffa,2022,5,3.3435
gin_boffa,2022,6,3.772
gin_boffa,2022,7,2.3192
gin_boffa,2022,8,1.8802
gin_boffa,2022,9,3.0304
gin_boffa,2022,10,4.0903
gin_boffa,2022,11,4.1296
gin_boffa,2022,12,4.8521
gin_boffa,2023,1,5.7641
gin_boffa,2023,2,4.5249
gin_boffa,2023,3,5.4907
gin_boffa,2023,4,4.4495
gin_boffa,2023,5,2.8283
gin_boffa,2023,6,3.216
gin_boffa,2023,7,2.9753
gin_boffa,2023,8,2.4922
gin_boffa,2023,9,3.2317
gin_boffa,2023,10,3.483
gin_boffa,2023,11,4.3243
gin_boffa,2023,12,5.1397
gin_boke_centre,2004,2,4.2769
gin_boke_centre,2004,3,3.8987
gin_boke_centre,2004,4,3.7358
gin_boke_centre,2004,5,3.3049
gin_boke_centre,2004,6,3.2538
gin_boke_centre,2004,7,3.2474
gin_boke_centre,2004,8,3.3442
gin_boke_centre,2004,9,3.7452
gin_boke_centre,2004,10,4.3807
gin_boke_centre,2004,11,4.7483
gin_boke_centre,2004,12,4.5523
gin_boke_centre,2005,1,4.366
gin_boke_centre,2005,2,4.5267
gin_boke_centre,2005,3,5.4445
gin_boke_centre,2005,4,3.9147
gin_boke_centre,2005,5,2.7476
gin_boke_centre,2005,6,2.7533
gin_boke_centre,2005,7,3.9257
gin_boke_centre,2005,8,3.2132
gin_boke_centre,2005,9,4.1547
gin_boke_centre,2005,10,4.24
gin_boke_centre,2005,11,4.6281
gin_boke_centre,2005,12,5.2009
gin_boke_centre,2006,1,5.6801
gin_boke_centre,2006,2,5.9511
gin_boke_centre,2006,3,4.8789
gin_boke_centre,2006,4,4.156
gin_boke_centre,2006,5,3.1443
gin_boke_centre,2006,6,3.1612
gin_boke_centre,2006,7,3.7685
gin_boke_centre,2006,8,2.6773
gin_boke_centre,2006,9,3.3633
gin_boke_centre,2006,10,4.093
gin_boke_centre,2006,11,5.7108
gin_boke_centre,2006,12,5.6483
gin_boke_centre,2007,1,4.6378
gin_boke_centre,2007,2,5.4775
gin_boke_centre,2007,3,4.7293
gin_boke_centre,2007,4,4.1092
gin_boke_centre,2007,5,2.6151
gin_boke_centre,2007,6,3.2956
gin_boke_centre,2007,7,2.8904
gin_boke_centre,2007,8,2.7136
gin_boke_centre,2007,9,3.4051
gin_boke_centre,2007,10,4.3829
gin_boke_centre,2007,11,4.6084
gin_boke_centre,2007,12,6.1504
gin_boke_centre,2008,1,5.5757
gin_boke_centre,2008,2,4.7779
gin_boke_centre,2008,3,4.9706
gin_boke_centre,2008,4,3.8005
gin_boke_centre,2008,5,2.4742
gin_boke_centre,2008,6,3.8007
gin_boke_centre,2008,7,3.6319
gin_boke_centre,2008,8,2.5296
gin_boke_centre,2008,9,3.4585
gin_boke_centre,2008,10,3.5753
gin_boke_centre,2008,11,5.0353
gin_boke_centre,2008,12,5.401
gin_boke_centre,2009,1,5.8005
gin_boke_centre,2009,2,5.3343
gin_boke_centre,2009,3,5.5761
gin_boke_centre,2009,4,4.0876
gin_boke_centre,2009,5,3.2516
gin_boke_centre,2009,6,3.3008
gin_boke_centre,2009,7,3.6047
gin_boke_centre,2009,8,2.6191
gin_boke_centre,2009,9,3.2772
gin_boke_centre,2009,10,4.2041
gin_boke_centre,2009,11,4.6735
gin_boke_centre,2009,12,5.1779
gin_boke_centre,2010,1,5.9513
gin_boke_centre,2010,2,5.7508
gin_boke_centre,2010,3,4.2004
gin_boke_centre,2010,4,3.5402
gin_boke_centre,2010,5,2.3206
gin_boke_centre,2010,6,3.2848
gin_boke_centre,2010,7,2.7618
gin_boke_centre,2010,8,2.928
gin_boke_centre,2010,9,2.9256
gin_boke_centre,2010,10,4.0227
gin_boke_centre,2010,11,5.4951
gin_boke_centre,2010,12,5.283
gin_boke_centre,2011,1,4.4136
gin_boke_centre,2011,2,6.2014
gin_boke_centre,2011,3,5.6277
gin_boke_centre,2011,4,3.5912
gin_boke_centre,2011,5,3.0222
gin_boke_centre,2011,6,2.8517
gin_boke_centre,2011,7,3.0769
gin_boke_centre,2011,8,3.0505
gin_boke_centre,2011,9,4.065
gin_boke_centre,2011,10,3.8214
gin_boke_centre,2011,11,5.448
gin_boke_centre,2011,12,5.4624
gin_boke_centre,2012,1,5.6738
gin_boke_centre,2012,2,4.0649
gin_boke_centre,2012,3,3.5312
gin_boke_centre,2012,4,3.9886
gin_boke_centre,2012,5,2.6017
gin_boke_centre,2012,6,3.2042
gin_boke_centre,2012,7,2.6551
gin_boke_centre,2012,8,2.9387
gin_boke_centre,2012,9,3.699
gin_boke_centre,2012,10,4.0386
gin_boke_centre,2012,11,4.4234
gin_boke_centre,2012,12,5.5285
gin_boke_centre,2013,1,5.3627
gin_boke_centre,2013,2,5.9202
gin_boke_centre,2013,3,6.1428
gin_boke_centre,2013,4,5.1328
gin_boke_centre,2013,5,3.1783
gin_boke_centre,2013,6,3.1435
gin_boke_centre,2013,7,3.2023
gin_boke_centre,2013,8,2.3641
gin_boke_centre,2013,9,3.5881
gin_boke_centre,2013,10,4.2242
gin_boke_centre,2013,11,4.6874
gin_boke_centre,2013,12,5.8493
gin_boke_centre,2014,1,5.9151
gin_boke_centre,2014,2,5.804
gin_boke_centre,2014,3,5.7064
gin_boke_centre,2014,4,4.8565
gin_boke_centre,2014,5,3.1639
gin_boke_centre,2014,6,3.5638
gin_boke_centre,2014,7,3.3521
gin_boke_centre,2014,8,2.822
gin_boke_centre,2014,9,3.4801
gin_boke_centre,2014,10,3.7095
gin_boke_centre,2014,11,4.2705
gin_boke_centre,2014,12,4.249
gin_boke_centre,2015,1,4.0934
gin_boke_centre,2015,2,5.9412
gin_boke_centre,2015,3,4.5283
gin_boke_centre,2015,4,3.7421
gin_boke_centre,2015,5,2.8043
gin_boke_centre,2015,6,3.0143
gin_boke_centre,2015,7,2.9646
gin_boke_centre,2015,8,2.9653
gin_boke_centre,2015,9,3.3837
gin_boke_centre,2015,10,3.6905
gin_boke_centre,2015,11,4.6093
gin_boke_centre,2015,12,3.5548
gin_boke_centre,2016,1,4.6981
gin_boke_centre,2016,2,4.5826
gin_boke_centre,2016,3,5.6664
gin_boke_centre,2016,4,4.2805
gin_boke_centre,2016,5,3.1671
gin_boke_centre,2016,6,3.3779
gin_boke_centre,2016,7,2.2735
gin_boke_centre,2016,8,2.7823
gin_boke_centre,2016,9,3.2247
gin_boke_centre,2016,10,3.9362
gin_boke_centre,2016,11,4.43
gin_boke_centre,2016,12,4.7133
gin_boke_centre,2017,1,6.2372
gin_boke_centre,2017,2,5.1367
gin_boke_centre,2017,3,5.1537
gin_boke_centre,2017,4,4.2254
gin_boke_centre,2017,5,3.0922
gin_boke_centre,2017,6,3.2694
gin_boke_centre,2017,7,3.3591
gin_boke_centre,2017,8,2.7166
gin_boke_centre,2017,9,3.6196
gin_boke_centre,2017,10,4.0757
gin_boke_centre,2017,11,3.6939
gin_boke_centre,2017,12,4.4632
gin_boke_centre,2018,1,4.8807
gin_boke_centre,2018,2,5.0682
gin_boke_centre,2018,3,5.4237
gin_boke_centre,2018,4,4.6088
gin_boke_centre,2018,5,3.7354
gin_boke_centre,2018,6,2.5311
gin_boke_centre,2018,7,2.809
gin_boke_centre,2018,8,2.7412
gin_boke_centre,2018,9,2.9868
gin_boke_centre,2018,10,4.2131
gin_boke_centre,2018,11,4.3149
gin_boke_centre,2018,12,6.0279
gin_boke_centre,2019,1,6.1217
gin_boke_centre,2019,2,5.2389
gin_boke_centre,2019,3,5.3846
gin_boke_centre,2019,4,5.0971
gin_boke_centre,2019,5,3.4925
gin_boke_centre,2019,6,3.4773
gin_boke_centre,2019,7,2.5166
gin_boke_centre,2019,8,2.7752
gin_boke_centre,2019,9,3.5802
gin_boke_centre,2019,10,4.3876
gin_boke_centre,2019,11,5.3016
gin_boke_centre,2019,12,6.6511
gin_boke_centre,2020,1,4.6162
gin_boke_centre,2020,2,5.4652
gin_boke_centre,2020,3,5.43
gin_boke_centre,2020,4,4.3152
gin_boke_centre,2020,5,3.2835
gin_boke_centre,2020,6,3.1393
gin_boke_centre,2020,7,2.1349
gin_boke_centre,2020,8,2.1646
gin_boke_centre,2020,9,3.7067
gin_boke_centre,2020,10,4.9456
gin_boke_centre,2020,11,6.0393
gin_boke_centre,2020,12,6.3859
gin_boke_centre,2021,1,5.7255
gin_boke_centre,2021,2,4.5877
gin_boke_centre,2021,3,5.2702
gin_boke_centre,2021,4,4.9306
gin_boke_centre,2021,5,3.4005
gin_boke_centre,2021,6,3.5352
gin_boke_centre,2021,7,3.0669
gin_boke_centre,2021,8,2.5138
gin_boke_centre,2021,9,3.7782
gin_boke_centre,2021,10,3.9654
gin_boke_centre,2021,11,4.8376
gin_boke_centre,2021,12,4.649
gin_boke_centre,2022,1,5.6798
gin_boke_centre,2022,2,5.3155
gin_boke_centre,2022,3,4.8771
gin_boke_centre,2022,4,4.8369
gin_boke_centre,2022,5,3.6499
gin_boke_centre,2022,6,3.2038
gin_boke_centre,2022,7,2.6277
gin_boke_centre,2022,8,2.5762
gin_boke_centre,2022,9,3.2809
gin_boke_centre,2022,10,4.1074
gin_boke_centre,2022,11,4.3599
gin_boke_centre,2022,12,5.0353
gin_boke_centre,2023,1,5.778
gin_boke_centre,2023,2,5.0316
gin_boke_centre,2023,3,6.0685
gin_boke_centre,2023,4,4.928
gin_boke_centre,2023,5,2.5613
gin_boke_centre,2023,6,3.5262
gin_boke_centre,2023,7,3.3296
gin_boke_centre,2023,8,3.2222
gin_boke_centre,2023,9,3.6891
gin_boke_centre,2023,10,3.7364
gin_boke_centre,2023,11,4.7881
gin_boke_centre,2023,12,5.1974
gin_conakry_kaloum,2004,2,4.0751
gin_conakry_kaloum,2004,3,3.0522
gin_conakry_kaloum,2004,4,2.7383
gin_conakry_kaloum,2004,5,3.0787
gin_conakry_kaloum,2004,6,2.8684
gin_conakry_kaloum,2004,7,2.4939
gin_conakry_kaloum,2004,8,2.8142
gin_conakry_kaloum,2004,9,4.2098
gin_conakry_kaloum,2004,10,4.8963
gin_conakry_kaloum,2004,11,5.2262
gin_conakry_kaloum,2004,12,4.1102
gin_conakry_kaloum,2005,1,3.9141
gin_conakry_kaloum,2005,2,3.891
gin_conakry_kaloum,2005,3,4.4424
gin_conakry_kaloum,2005,4,3.1818
gin_conakry_kaloum,2005,5,3.4079
gin_conakry_kaloum,2005,6,2.6489
gin_conakry_kaloum,2005,7,3.239
gin_conakry_kaloum,2005,8,2.0251
gin_conakry_kaloum,2005,9,4.1593
gin_conakry_kaloum,2005,10,4.0349
gin_conakry_kaloum,2005,11,4.3675
gin_conakry_kaloum,2005,12,4.866
gin_conakry_kaloum,2006,1,4.974
gin_conakry_kaloum,2006,2,5.2685
gin_conakry_kaloum,2006,3,4.0267
gin_conakry_kaloum,2006,4,3.3214
gin_conakry_kaloum,2006,5,3.1202
gin_conakry_kaloum,2006,6,2.8717
gin_conakry_kaloum,2006,7,2.8722
gin_conakry_kaloum,2006,8,2.1073
gin_conakry_kaloum,2006,9,3.6754
gin_conakry_kaloum,2006,10,4.295
gin_conakry_kaloum,2006,11,5.3819
gin_conakry_kaloum,2006,12,5.191
gin_conakry_kaloum,2007,1,3.9926
gin_conakry_kaloum,2007,2,4.8679
gin_conakry_kaloum,2007,3,3.8379
gin_conakry_kaloum,2007,4,3.0866
