localite,annee,mois,ghi,dni,dhi,kt,albedo,t2m,rh2m,vent_2m,vent_10m
gin_beyla,1999,4,5.5675,,3.5868,,,23.98,79.76,1.41,2.25
gin_beyla,1999,5,5.8318,,3.2683,,,23.96,84.17,1.3,2.08
gin_beyla,1999,6,5.5183,,3.9094,,,23.23,85.38,1.29,2.09
gin_beyla,1999,7,4.8437,,4.2578,,,21.92,89.33,1.79,2.79
gin_beyla,1999,8,4.577,,4.373,,,21.64,90.4,2.27,3.49
gin_beyla,1999,9,4.9435,,4.2874,,,22.17,88.7,1.56,2.48
gin_beyla,1999,10,5.1535,,3.943,,,22.54,85.7,1.32,2.12
gin_beyla,1999,11,4.8372,,3.1838,,,22.29,80.19,1.36,2.27
gin_beyla,1999,12,5.1646,,2.2867,,,20.44,60.58,1.75,2.98
gin_beyla,2000,1,5.1912,,2.7394,,,22.33,70.62,1.52,2.44
gin_beyla,2000,2,6.0098,,2.4653,,,22.13,53.13,1.79,2.92
gin_beyla,2000,3,5.9174,,3.198,,,24.36,67.59,1.45,2.35
gin_beyla,2000,4,5.6318,,3.1462,,,24.27,83.67,1.41,2.21
gin_beyla,2000,5,5.6431,,3.6367,,,23.95,86.22,1.28,2.06
gin_beyla,2000,6,4.7765,,4.0082,,,23.24,86.06,1.34,2.14
gin_beyla,2000,7,4.7772,,4.3541,,,22.03,87.86,1.77,2.75
gin_beyla,2000,8,4.6466,,4.2883,,,21.93,88.47,1.71,2.64
gin_beyla,2000,9,4.8626,,4.3618,,,22.46,87.57,1.46,2.3
gin_beyla,2000,10,5.2601,,3.8806,,,22.79,85.63,1.24,2.02
gin_beyla,2000,11,5.2817,,3.085,,,22.82,77.07,1.2,1.98
gin_beyla,2000,12,5.2394,,2.3436,,,21.51,57.91,1.41,2.35
gin_beyla,2001,1,5.7545,4.721,2.2754,0.63,0.08,21.52,51.14,1.36,2.23
gin_beyla,2001,2,6.1159,4.3392,2.6647,0.63,0.08,23.05,48.8,1.65,2.73
gin_beyla,2001,3,5.695,3.5002,2.4946,0.55,0.11,25.09,71.23,1.65,2.5
gin_beyla,2001,4,5.7257,2.9275,2.795,0.55,0.12,25.32,75.82,1.59,2.43
gin_beyla,2001,5,5.7038,2.9138,2.8706,0.55,0.14,25.28,75.23,1.49,2.3
gin_beyla,2001,6,4.9776,2.0849,2.754,0.49,0.15,23.9,80.34,1.64,2.51
gin_beyla,2001,7,4.6277,1.5396,2.7377,0.46,0.16,22.98,83.02,1.79,2.71
gin_beyla,2001,8,4.6774,1.3937,2.7648,0.45,0.16,22.36,87.54,1.84,2.82
gin_beyla,2001,9,4.9853,2.1142,2.6894,0.49,0.16,22.51,86.43,1.46,2.31
gin_beyla,2001,10,5.5498,3.3029,2.6203,0.56,0.14,24.04,78.79,1.46,2.34
gin_beyla,2001,11,4.9913,3.3497,2.2728,0.54,0.11,24.6,71.14,1.39,2.21
gin_beyla,2001,12,5.3414,4.7592,1.9375,0.61,0.09,24.45,52.42,1.5,2.45
gin_beyla,2002,1,5.3254,3.8825,2.3119,0.59,0.09,23.97,36.93,2.08,3.33
gin_beyla,2002,2,5.7998,4.1009,2.4504,0.6,0.09,26.52,34.07,1.85,2.88
gin_beyla,2002,3,5.7593,3.3211,2.659,0.56,0.11,26.51,63.76,1.82,2.7
gin_beyla,2002,4,5.4204,2.5279,2.7782,0.52,0.12,26.64,67.09,1.77,2.65
gin_beyla,2002,5,5.3815,2.5303,2.6909,0.52,0.14,27.05,66.06,1.74,2.6
gin_beyla,2002,6,5.147,2.147,2.8068,0.51,0.16,25.65,69.22,1.89,2.83
gin_beyla,2002,7,4.698,1.7834,2.6518,0.46,0.16,23.31,83.33,1.65,2.53
gin_beyla,2002,8,5.0429,1.9927,2.7631,0.49,0.21,22.82,86.6,1.71,2.64
gin_beyla,2002,9,5.1026,2.4115,2.6458,0.5,0.18,23.9,79.84,1.64,2.54
gin_beyla,2002,10,5.5529,3.5542,2.4809,0.56,0.14,24.94,70.74,1.67,2.56
gin_beyla,2002,11,5.3422,4.1513,2.2039,0.58,0.12,26.26,58.65,1.59,2.48
gin_beyla,2002,12,5.5234,5.0582,2.0016,0.63,0.1,24.77,32.84,2.12,3.44
gin_beyla,2003,1,5.1967,4.0394,2.1578,0.57,0.09,25.39,28.46,1.94,3.11
gin_beyla,2003,2,5.735,4.3255,2.2834,0.59,0.1,27.58,44.92,1.83,2.81
gin_beyla,2003,3,5.675,3.3511,2.6004,0.55,0.1,27.81,47.96,1.82,2.76
gin_beyla,2003,4,5.7247,3.2093,2.6899,0.55,0.13,27.42,64.06,1.92,2.8
gin_beyla,2003,5,5.6323,2.8402,2.7818,0.55,0.16,26.09,71.78,1.76,2.66
gin_beyla,2003,6,4.7664,1.6582,2.735,0.47,0.13,24.72,75.56,1.83,2.74
gin_beyla,2003,7,4.729,1.6349,2.7686,0.47,0.18,23.89,77.4,2.12,3.15
gin_beyla,2003,8,4.3366,1.1868,2.641,0.42,0.17,22.94,82.24,2.11,3.18
gin_beyla,2003,9,5.0364,2.2495,2.6486,0.49,0.15,23.84,77.34,2.01,3.04
gin_beyla,2003,10,5.4677,3.3931,2.5056,0.56,0.15,25.68,70.13,1.66,2.53
gin_beyla,2003,11,5.1086,3.6005,2.2721,0.56,0.13,25.88,63.15,1.61,2.48
gin_beyla,2003,12,5.519,4.9097,2.0424,0.63,0.1,25.55,36.74,1.87,2.98
gin_beyla,2004,1,5.4662,4.3853,2.1924,0.6,0.09,26.76,29.61,1.95,3.04
gin_beyla,2004,2,5.0957,2.6273,2.7439,0.52,0.09,26.86,39.91,1.96,2.95
gin_beyla,2004,3,5.2226,2.0654,2.9328,0.51,0.1,28.05,44.88,1.94,2.88
gin_beyla,2004,4,5.0285,2.1374,2.724,0.48,0.13,26.91,64.15,1.7,2.51
gin_beyla,2004,5,5.1331,2.1144,2.7629,0.5,0.14,26.5,69.39,1.88,2.81
gin_beyla,2004,6,4.9277,2.1197,2.6539,0.49,0.13,26.91,60.85,2.07,3.05
gin_beyla,2004,7,4.5641,2.0542,2.4348,0.45,0.17,24.11,73.53,1.99,2.94
gin_beyla,2004,8,4.9368,2.251,2.5142,0.48,0.16,23.52,81.6,1.95,2.93
gin_beyla,2004,9,5.3998,2.8411,2.611,0.53,0.15,23.88,78.85,1.56,2.42
gin_beyla,2004,10,5.6525,3.787,2.4458,0.58,0.13,25.66,69.57,1.61,2.47
gin_beyla,2004,11,5.3376,3.9869,2.2771,0.58,0.13,25.61,67.32,1.46,2.27
gin_beyla,2004,12,4.8449,3.5633,2.136,0.55,0.1,26.75,56.79,1.47,2.22
gin_beyla,2005,1,5.0369,2.9618,2.5855,0.55,0.09,25.3,29.36,2.03,3.2
gin_beyla,2005,2,4.9018,2.7355,2.4211,0.5,0.1,27.65,52.6,1.77,2.62
gin_beyla,2005,3,5.4058,2.8392,2.6458,0.53,0.12,26.39,68.99,1.73,2.59
gin_beyla,2005,4,5.4245,2.4852,2.747,0.52,0.13,25.06,79.23,1.67,2.55
gin_beyla,2005,5,5.448,2.6251,2.7715,0.53,0.14,24.83,79.15,1.47,2.27
gin_beyla,2005,6,4.4712,1.7227,2.508,0.44,0.15,24.19,81.01,1.65,2.5
gin_beyla,2005,7,4.9008,2.3465,2.5195,0.48,0.15,23.77,77.77,2.1,3.12
gin_beyla,2005,8,4.6138,1.9025,2.4893,0.45,0.14,22.75,84.15,2.14,3.23
gin_beyla,2005,9,5.2164,2.6498,2.5543,0.51,0.16,24.05,78.75,1.7,2.62
gin_beyla,2005,10,5.4283,3.3226,2.4859,0.55,0.14,25.09,70.25,1.59,2.49
gin_beyla,2005,11,5.0724,3.3746,2.3364,0.55,0.11,25.93,62.71,1.42,2.23
gin_beyla,2005,12,5.2742,4.5612,1.9728,0.6,0.1,25.85,44.12,1.78,2.82
gin_beyla,2006,1,5.6196,4.6985,2.1461,0.62,0.09,26.5,40.55,1.86,2.85
gin_beyla,2006,2,5.5085,3.8201,2.3273,0.57,0.11,27.45,43.31,1.78,2.64
gin_beyla,2006,3,5.4031,2.8898,2.5764,0.53,0.1,26.06,63.89,1.69,2.54
gin_beyla,2006,4,5.4029,2.2663,2.8625,0.52,0.12,27.09,63.32,1.84,2.69
gin_beyla,2006,5,5.3818,2.454,2.8087,0.52,0.15,26.31,68.39,1.67,2.5
gin_beyla,2006,6,5.0441,2.2555,2.7127,0.5,0.13,24.74,76.41,1.57,2.4
gin_beyla,2006,7,4.7558,2.1434,2.5421,0.47,0.15,24.69,73.05,1.97,2.9
gin_beyla,2006,8,4.4969,1.8881,2.4079,0.44,0.15,23.2,80.45,2.42,3.6
gin_beyla,2006,9,4.8266,2.0249,2.592,0.47,0.15,23.32,82.78,1.67,2.57
gin_beyla,2006,10,5.3287,3.1958,2.477,0.54,0.15,24.21,79.41,1.48,2.33
gin_beyla,2006,11,5.7353,4.728,2.2169,0.62,0.12,25.54,49.29,1.93,3.07
gin_beyla,2006,12,5.4326,4.4371,2.2121,0.62,0.1,24.23,27.28,1.96,3.27
gin_beyla,2007,1,5.1686,2.9028,2.814,0.57,0.08,24.27,24.93,2.17,3.48
gin_beyla,2007,2,5.7509,3.9108,2.562,0.59,0.1,26.64,36.81,1.91,2.95
gin_beyla,2007,3,5.4864,2.6479,2.8651,0.53,0.1,26.7,52.43,1.85,2.8
gin_beyla,2007,4,5.1658,2.3854,2.6722,0.49,0.11,25.81,72.39,1.69,2.56
gin_beyla,2007,5,5.6141,2.671,2.8766,0.55,0.16,26.49,70.54,1.73,2.61
gin_beyla,2007,6,5.2234,2.753,2.5824,0.52,0.14,23.84,82.28,1.83,2.8
gin_beyla,2007,7,4.6102,2.0815,2.4482,0.45,0.14,23.02,84.13,2.32,3.52
gin_beyla,2007,8,4.4609,1.7232,2.4662,0.43,0.17,22.87,84.33,2.26,3.44
gin_beyla,2007,9,4.7794,1.9272,2.6129,0.47,0.15,23.99,76.23,1.89,2.89
gin_beyla,2007,10,5.2846,3.0509,2.4989,0.54,0.13,25.77,63.52,1.86,2.86
gin_beyla,2007,11,5.1809,3.5306,2.3232,0.56,0.12,25.5,63.88,1.54,2.4
gin_beyla,2007,12,5.4581,4.4549,2.2178,0.62,0.1,24.79,39.7,1.81,2.93
gin_beyla,2008,1,6.0413,5.2414,2.238,0.67,0.09,24.02,19.98,2.25,3.6
gin_beyla,2008,2,5.4451,2.9436,2.9016,0.56,0.08,26.59,35.44,1.95,3.04
gin_beyla,2008,3,5.6374,3.023,2.7379,0.55,0.12,26.12,65.79,1.75,2.59
gin_beyla,2008,4,5.4758,2.3414,2.9614,0.52,0.11,25.42,73.1,1.57,2.4
gin_beyla,2008,5,5.4946,2.8279,2.8171,0.53,0.15,24.86,78.13,1.51,2.33
gin_beyla,2008,6,5.113,2.2627,2.7494,0.51,0.14,23.82,83.15,1.65,2.55
gin_beyla,2008,7,4.7909,1.8005,2.725,0.47,0.18,22.22,89.06,1.71,2.67
gin_beyla,2008,8,4.4345,1.7364,2.4991,0.43,0.15,22.05,89.81,1.86,2.88
gin_beyla,2008,9,4.8694,1.8694,2.7238,0.48,0.15,22.59,88.77,1.41,2.25
gin_beyla,2008,10,5.393,2.9333,2.6741,0.55,0.14,22.75,87.22,1.32,2.17
gin_beyla,2008,11,5.5742,4.074,2.4396,0.61,0.12,22.53,73.68,1.51,2.51
gin_beyla,2008,12,5.3671,4.4244,2.167,0.61,0.1,21.66,63.11,1.78,2.97
gin_beyla,2009,1,5.4826,4.1844,2.3462,0.6,0.09,21.16,50.65,1.94,3.15
gin_beyla,2009,2,5.1852,2.9674,2.5668,0.53,0.11,23.87,69.13,1.44,2.27
gin_beyla,2009,3,5.4127,2.8898,2.6354,0.53,0.11,25.19,73.85,1.5,2.3
gin_beyla,2009,4,5.5234,2.8531,2.6863,0.53,0.13,24.47,81.25,1.39,2.19
gin_beyla,2009,5,5.5738,2.8946,2.7694,0.54,0.14,24.14,84.47,1.42,2.26
