localite,date,ghi,dni
gin_kankan,2022-09-20,2.6097,0.115
gin_kankan,2022-09-21,5.131,2.7218
gin_kankan,2022-09-22,6.2036,4.6408
gin_kankan,2022-09-23,2.9914,0.659
gin_kankan,2022-09-24,2.2035,1.3343
gin_kankan,2022-09-25,3.8323,1.8074
gin_kankan,2022-09-26,5.245,3.2489
gin_kankan,2022-09-27,4.4775,2.1616
gin_kankan,2022-09-28,6.5211,5.411
gin_kankan,2022-09-29,6.3456,5.5196
gin_kankan,2022-09-30,7.1396,6.4353
gin_kankan,2022-10-01,5.3331,4.4462
gin_kankan,2022-10-02,5.8307,4.2467
gin_kankan,2022-10-03,5.6676,4.3127
gin_kankan,2022-10-04,6.5167,5.071
gin_kankan,2022-10-05,5.374,1.6604
gin_kankan,2022-10-06,3.7056,0.8136
gin_kankan,2022-10-07,5.6637,4.8824
gin_kankan,2022-10-08,6.1683,5.5747
gin_kankan,2022-10-09,5.5012,1.9596
gin_kankan,2022-10-10,6.6493,5.9843
gin_kankan,2022-10-11,5.2245,3.3453
gin_kankan,2022-10-12,6.3695,5.7888
gin_kankan,2022-10-13,6.6704,5.9183
gin_kankan,2022-10-14,4.3938,1.8707
gin_kankan,2022-10-15,3.8975,1.301
gin_kankan,2022-10-16,3.8731,0.8359
gin_kankan,2022-10-17,6.2769,5.4805
gin_kankan,2022-10-18,6.577,5.9227
gin_kankan,2022-10-19,6.2847,5.5096
gin_kankan,2022-10-20,6.1731,4.7974
gin_kankan,2022-10-21,5.7073,3.9395
gin_kankan,2022-10-22,4.4666,1.5177
gin_kankan,2022-10-23,4.8334,2.1861
gin_kankan,2022-10-24,5.6552,4.0104
gin_kankan,2022-10-25,6.422,6.7463
gin_kankan,2022-10-26,6.071,4.8096
gin_kankan,2022-10-27,4.5171,3.1937
gin_kankan,2022-10-28,5.1371,3.4404
gin_kankan,2022-10-29,5.9905,4.9572
gin_kankan,2022-10-30,5.9262,4.7586
gin_kankan,2022-10-31,6.2598,6.0592
gin_kankan,2022-11-01,5.9865,5.7775
gin_kankan,2022-11-02,6.1135,6.4372
gin_kankan,2022-11-03,6.0638,6.2096
gin_kankan,2022-11-04,5.6888,4.696
gin_kankan,2022-11-05,5.7115,5.2732
gin_kankan,2022-11-06,5.633,4.3333
gin_kankan,2022-11-07,5.4672,3.9003
gin_kankan,2022-11-08,6.2147,6.6026
gin_kankan,2022-11-09,6.3521,7.5635
gin_kankan,2022-11-10,6.142,7.355
gin_kankan,2022-11-11,5.9615,6.7763
gin_kankan,2022-11-12,5.8271,6.8418
gin_kankan,2022-11-13,4.3887,3.0847
gin_kankan,2022-11-14,4.8298,3.5543
gin_kankan,2022-11-15,3.4003,0.5039
gin_kankan,2022-11-16,3.9874,0.9783
gin_kankan,2022-11-17,5.8568,5.1125
gin_kankan,2022-11-18,4.2546,1.2949
gin_kankan,2022-11-19,6.1847,6.5106
gin_kankan,2022-11-20,6.0529,6.7407
gin_kankan,2022-11-21,4.9423,2.8089
gin_kankan,2022-11-22,5.981,6.4339
gin_kankan,2022-11-23,5.3541,4.1772
gin_kankan,2022-11-24,5.9205,6.5199
gin_kankan,2022-11-25,5.2903,4.6409
gin_kankan,2022-11-26,5.67,4.9976
gin_kankan,2022-11-27,4.8857,2.9542
gin_kankan,2022-11-28,4.8698,2.832
gin_kankan,2022-11-29,5.5128,5.8149
gin_kankan,2022-11-30,4.399,3.1542
gin_kankan,2022-12-01,5.4233,5.3576
gin_kankan,2022-12-02,5.057,4.2966
gin_kankan,2022-12-03,4.1786,2.8553
gin_kankan,2022-12-04,4.6377,4.1647
gin_kankan,2022-12-05,2.5967,0.1625
gin_kankan,2022-12-06,5.5701,5.8968
gin_kankan,2022-12-07,5.5783,5.37
gin_kankan,2022-12-08,5.5097,4.9985
gin_kankan,2022-12-09,4.9347,2.8811
gin_kankan,2022-12-10,5.0894,3.4398
gin_kankan,2022-12-11,5.7826,6.0583
gin_kankan,2022-12-12,5.6545,5.5348
gin_kankan,2022-12-13,5.748,6.3292
gin_kankan,2022-12-14,5.3424,4.7512
gin_kankan,2022-12-15,5.7819,6.755
gin_kankan,2022-12-16,5.67,6.9684
gin_kankan,2022-12-17,5.8231,7.3582
gin_kankan,2022-12-18,5.5705,6.69
gin_kankan,2022-12-19,5.472,5.9331
gin_kankan,2022-12-20,4.9589,3.9975
gin_kankan,2022-12-21,3.312,0.497
gin_kankan,2022-12-22,4.9655,3.698
gin_kankan,2022-12-23,5.3406,4.6293
gin_kankan,2022-12-24,5.3506,5.1738
gin_kankan,2022-12-25,5.6686,6.3252
gin_kankan,2022-12-26,5.2912,5.3988
gin_kankan,2022-12-27,4.7239,3.674
gin_kankan,2022-12-28,5.1226,4.2974
gin_kankan,2022-12-29,4.7001,2.679
gin_kankan,2022-12-30,4.7495,2.3396
gin_kankan,2022-12-31,5.2148,4.1933
gin_kankan,2023-01-01,5.9169,6.4501
gin_kankan,2023-01-02,5.8598,6.5392
gin_kankan,2023-01-03,5.8752,6.8326
gin_kankan,2023-01-04,5.9569,7.0553
gin_kankan,2023-01-05,5.6737,6.1982
gin_kankan,2023-01-06,5.6858,6.0494
gin_kankan,2023-01-07,5.3147,4.4328
gin_kankan,2023-01-08,5.2514,3.7825
gin_kankan,2023-01-09,5.6453,5.6387
gin_kankan,2023-01-10,5.8015,6.7559
gin_kankan,2023-01-11,5.6575,5.4193
gin_kankan,2023-01-12,5.901,6.0874
gin_kankan,2023-01-13,5.6994,5.3593
gin_kankan,2023-01-14,6.0741,7.0716
gin_kankan,2023-01-15,6.0865,7.0053
gin_kankan,2023-01-16,6.1281,7.4458
gin_kankan,2023-01-17,6.2061,7.703
gin_kankan,2023-01-18,6.1612,7.6342
gin_kankan,2023-01-19,6.0674,7.1668
gin_kankan,2023-01-20,6.0696,7.2635
gin_kankan,2023-01-21,5.518,6.2007
gin_kankan,2023-01-22,5.1461,4.3443
gin_kankan,2023-01-23,5.1423,4.8157
gin_kankan,2023-01-24,4.8917,3.2728
gin_kankan,2023-01-25,2.8394,0.748
gin_kankan,2023-01-26,5.5663,5.4587
gin_kankan,2023-01-27,5.925,5.4913
gin_kankan,2023-01-28,5.9019,5.2233
gin_kankan,2023-01-29,6.3493,7.4175
gin_kankan,2023-01-30,5.9869,6.5364
gin_kankan,2023-01-31,6.0305,6.7487
gin_kankan,2023-02-01,5.9252,6.3411
gin_kankan,2023-02-02,5.9819,6.5609
gin_kankan,2023-02-03,6.0184,6.497
gin_kankan,2023-02-04,6.1974,6.8514
gin_kankan,2023-02-05,5.9826,5.6651
gin_kankan,2023-02-06,5.3978,3.6908
gin_kankan,2023-02-07,5.279,3.5883
gin_kankan,2023-02-08,5.2599,4.0789
gin_kankan,2023-02-09,1.9268,0.1143
gin_kankan,2023-02-10,5.4866,4.7263
gin_kankan,2023-02-11,5.6026,4.826
gin_kankan,2023-02-12,5.8012,4.8126
gin_kankan,2023-02-13,5.8877,5.3929
gin_kankan,2023-02-14,5.3474,3.7277
gin_kankan,2023-02-15,3.7647,1.0944
gin_kankan,2023-02-16,4.8076,1.9543
gin_kankan,2023-02-17,4.2314,1.1727
gin_kankan,2023-02-18,5.1627,0.9637
gin_kankan,2023-02-19,5.1377,1.1155
gin_kankan,2023-02-20,5.506,2.0593
gin_kankan,2023-02-21,6.0677,3.8475
gin_kankan,2023-02-22,6.3296,4.7934
gin_kankan,2023-02-23,5.709,3.5392
gin_kankan,2023-02-24,5.8655,3.8636
gin_kankan,2023-02-25,5.8814,4.1578
gin_kankan,2023-02-26,5.8468,4.1957
gin_kankan,2023-02-27,6.1723,5.0913
gin_kankan,2023-02-28,6.5297,5.8464
gin_kankan,2023-03-01,6.3859,5.7162
gin_kankan,2023-03-02,6.7466,6.4949
gin_kankan,2023-03-03,6.9414,7.3292
gin_kankan,2023-03-04,6.098,5.3775
gin_kankan,2023-03-05,4.8831,2.5344
gin_kankan,2023-03-06,5.6404,3.9134
gin_kankan,2023-03-07,5.4337,3.5818
gin_kankan,2023-03-08,5.9099,4.3036
gin_kankan,2023-03-09,6.9154,6.6547
gin_kankan,2023-03-10,6.1035,4.9695
gin_kankan,2023-03-11,5.0068,2.8443
gin_kankan,2023-03-12,5.1164,2.9061
gin_kankan,2023-03-13,5.1264,2.5309
gin_kankan,2023-03-14,5.6232,3.4332
gin_kankan,2023-03-15,6.063,4.6844
gin_kankan,2023-03-16,6.382,4.8871
gin_kankan,2023-03-17,6.5651,5.3219
gin_kankan,2023-03-18,6.4611,5.0519
gin_kankan,2023-03-19,6.5328,5.5342
gin_kankan,2023-03-20,5.9727,4.677
gin_kankan,2023-03-21,6.3042,5.0264
gin_kankan,2023-03-22,6.5267,5.5196
gin_kankan,2023-03-23,5.415,2.6717
gin_kankan,2023-03-24,6.0174,3.8094
gin_kankan,2023-03-25,6.7208,5.7033
gin_kankan,2023-03-26,5.5798,3.4665
gin_kankan,2023-03-27,6.5503,4.8966
gin_kankan,2023-03-28,6.4144,4.8441
gin_kankan,2023-03-29,3.1297,1.4281
gin_kankan,2023-03-30,6.4274,4.3068
gin_kankan,2023-03-31,6.7614,4.8336
gin_kankan,2023-04-01,6.1315,3.3466
gin_kankan,2023-04-02,6.4349,4.4531
gin_kankan,2023-04-03,6.5625,4.335
gin_kankan,2023-04-04,6.4833,4.2667
gin_kankan,2023-04-05,5.4146,2.944
gin_kankan,2023-04-06,5.8792,3.5878
gin_kankan,2023-04-07,5.782,3.3567
gin_kankan,2023-04-08,6.0279,3.6151
gin_kankan,2023-04-09,2.5912,0.905
gin_kankan,2023-04-10,6.3885,3.775
gin_kankan,2023-04-11,6.7127,4.8042
gin_kankan,2023-04-12,6.8816,5.0096
gin_kankan,2023-04-13,6.6994,4.9325
gin_kankan,2023-04-14,6.6798,5.1813
gin_kankan,2023-04-15,6.5078,4.9618
gin_kankan,2023-04-16,6.0802,4.4766
gin_kankan,2023-04-17,5.495,2.6834
gin_kankan,2023-04-18,4.753,1.6938
gin_kankan,2023-04-19,6.5271,4.6902
gin_kankan,2023-04-20,6.0178,3.5221
gin_kankan,2023-04-21,5.7313,2.7015
